Chinese2,label,English2,Chinese3,3,English3,Chinese4,4,English4
8,2,0,4,3,2,3,4,3
3,2,43,3,3,2,6,4,1
5,2,2,2,3,20,2,4,13
4,2,16,4,3,12,5,4,15
1,2,20,10,3,24,5,4,14
2,2,2,8,3,14,10,4,6
2,2,10,8,3,7,8,4,14
2,2,1,3,3,14,8,4,7
3,2,1,4,3,1,5,4,7
1,2,11,6,3,18,1,4,13
1,2,2,17,3,7,6,4,9
3,2,1,3,3,9,8,4,4
7,2,1,11,3,13,2,4,0
7,2,1,6,3,6,1,4,6
8,2,3,9,3,14,2,4,12
2,2,2,7,3,7,14,4,20
6,2,0,2,3,3,4,4,0
4,2,12,4,3,5,9,4,2
3,2,16,7,3,9,4,4,21
6,2,5,8,3,2,17,4,24
1,2,1,11,3,11,7,4,12
1,2,1,8,3,5,2,4,0
4,2,0,3,3,4,6,4,6
6,2,5,5,3,20,15,4,1
4,2,0,6,3,6,8,4,14
2,2,0,11,3,3,3,4,14
2,2,5,15,3,9,4,4,5
4,2,2,5,3,0,3,4,14
4,2,1,6,3,6,11,4,5
7,2,13,16,3,18,5,4,1
2,2,1,9,3,30,8,4,4
5,2,0,4,3,19,10,4,4
1,2,0,8,3,2,4,4,2
1,2,3,10,3,7,10,4,15
1,2,0,17,3,4,9,4,1
7,2,3,10,3,31,9,4,4
3,2,0,6,3,19,9,4,21
1,2,0,2,3,13,4,4,19
2,2,0,13,3,4,9,4,10
4,2,1,3,3,14,7,4,19
4,2,1,5,3,10,10,4,1
1,2,9,6,3,20,1,4,19
3,2,42,9,3,0,4,4,19
6,2,3,11,3,1,4,4,11
3,2,5,4,3,6,1,4,0
2,2,12,15,3,8,9,4,17
4,2,7,10,3,13,7,4,1
3,2,12,7,3,23,3,4,8
5,2,12,1,3,17,4,4,2
8,2,8,6,3,2,2,4,14
1,2,8,4,3,1,4,4,12
8,2,3,1,3,8,7,4,7
7,2,9,3,3,8,3,4,1
4,2,12,2,3,1,4,4,28
6,2,15,3,3,10,7,4,1
3,2,1,13,3,4,2,4,13
7,2,0,8,3,15,3,4,7
7,2,11,7,3,4,1,4,0
1,2,3,7,3,0,3,4,10
6,2,1,5,3,3,2,4,10
9,2,1,14,3,18,9,4,13
7,2,1,4,3,2,2,4,4
5,2,0,11,3,26,7,4,8
1,2,2,6,3,3,2,4,3
11,2,3,19,3,15,4,4,0
7,2,0,4,3,11,4,4,1
10,2,11,6,3,9,5,4,14
2,2,0,6,3,15,10,4,14
3,2,1,7,3,7,3,4,0
5,2,23,10,3,0,12,4,20
6,2,12,8,3,0,6,4,22
10,2,1,2,3,11,2,4,1
5,2,0,3,3,0,3,4,9
4,2,11,,,,11,4,15
3,2,6,,,,4,4,16
,,,,,,5,4,15
,,,,,,6,4,2
,,,,,,3,4,5
,,,,,,3,4,9
